tempo,theta,omega
0.0000000000,2.5000000000,0.0000000000
0.0100000000,2.4997064302,-0.0587178074
0.0300000000,2.4973564877,-0.1763379393
0.0700000000,2.4855699015,-0.4136050753
0.1500000000,2.4329820279,-0.9064345694
0.2500000000,2.3091232695,-1.5852975958
0.3500000000,2.1124688215,-2.3670569682
0.4500000000,1.8318066697,-3.2642553332
0.5500000000,1.4570202410,-4.2362618322
0.6500000000,0.9863086591,-5.1521085202
0.7500000000,0.4359134940,-5.7882380065
0.8500000000,-0.1544894583,-5.9249323451
0.9477008892,-0.7176604837,-5.5226057133
1.0456203507,-1.2220914101,-4.7352204811
1.1456203507,-1.6477827513,-3.7695560066
1.2456203507,-1.9767665035,-2.8231886855
1.3456203507,-2.2159440215,-1.9800769919
1.4456203507,-2.3766178073,-1.2508679755
1.5456203507,-2.4690473571,-0.6091101424
1.6456203507,-2.4999921834,-0.0137944529
1.7456203507,-2.4718424638,0.5804420291
1.8456203507,-2.3824214135,1.2190398274
1.9456203507,-2.2251631154,1.9433703571
2.0456203507,-1.9899349017,2.7809552824
2.1456203507,-1.6653900257,3.7236240256
2.2456203507,-1.2442426195,4.6917228534
2.3456203507,-0.7321016028,5.5055746096
2.4456203507,-0.1563838072,5.9244539792
2.5456203507,0.4340635022,5.7895710704
2.6411624930,0.9616032613,5.1908867958
2.7368077202,1.4179308329,4.3250648803
2.8368077202,1.8016049608,3.3511590800
2.9368077202,2.0905065301,2.4443359399
3.0368077202,2.2943504306,1.6520175832
3.1368077202,2.4244481350,0.9650507253
3.2368077202,2.4897264535,0.3487917563
3.3368077202,2.4951105417,-0.2404098332
