tempo,theta_numerico,theta_analitico
0.0000000000,0.3000000000,0.3000000000
0.0100000000,0.2998550587,0.2998528620
0.0300000000,0.2986963428,0.2986766241
0.0700000000,0.2929244709,0.2928184866
0.1500000000,0.2679558692,0.2674957810
0.2500000000,0.2137634164,0.2126352863
0.3500000000,0.1389330857,0.1370852399
0.4500000000,0.0506343557,0.0481967105
0.5500000000,-0.0425857169,-0.0453813901
0.6500000000,-0.1316663150,-0.1345438520
0.7500000000,-0.2079791433,-0.2106151096
0.8500000000,-0.2642049828,-0.2661933800
0.9500000000,-0.2950185145,-0.2958708615
1.0500000000,-0.2975319978,-0.2967599157
1.1500000000,-0.2715109367,-0.2687740371
1.2500000000,-0.2193907225,-0.2146362699
1.3500000000,-0.1460973587,-0.1396142541
1.4500000000,-0.0586455628,-0.0510076805
1.5500000000,0.0345054363,0.0425619736
1.6500000000,0.1243020755,0.1319903199
1.7500000000,0.2020415421,0.2085759223
1.8500000000,0.2602601085,0.2648669518
1.9500000000,0.2934377423,0.2953862546
2.0500000000,0.2984628858,0.2971642828
